"","long","lat"
"1",126.59988,35.61236
"2",128.043244,37.805408
"3",126.783353,35.522613
"4",128.489485,35.787099
"5",128.608644,35.237619
"6",128.608231,35.236627
"7",127.870684,35.580944
"8",127.920669,35.605423
"9",128.210839999927,35.1908040006136
"10",129.07241,35.304243
"11",129.332765,35.44143
"12",127.540712,36.66298
"13",128.195448,35.321866
"14",129.166248,35.18305
"15",129.164829,35.185485
"16",128.70763,35.815967
"17",127.482567,36.328597
"18",127.48413,36.32595
"19",126.556924,33.51949
"20",128.493009,35.793294
"21",127.164436,37.754543
"22",127.437999999867,35.9090280004664
"23",129.065088,35.31431
"24",129.068477,35.30863
"25",129.070132,35.295782
"26",128.52266,35.742101
"27",127.681473,38.021978
"28",126.629166,36.713333
"29",127.762131,35.689492
"30",128.710536,35.454753
"31",127.31251,36.378426
"32",127.123531,37.555984
"33",128.491367,35.781592
"34",127.913332,35.600236
"35",128.495132999781,35.7076140007446
"36",127.239385,36.682362
"37",128.4541,37.5439
"38",128.14249,37.457778
"39",126.942427,37.640183
"40",127.594736,37.812402
"41",128.549995,34.87213
"42",127.342322,36.201193
"43",126.788035,37.47313
"44",126.802357,37.490251
"45",127.27836100033,34.9822220007567
"46",127.35244,34.908099
"47",128.120332,35.424815
"48",129.124928,35.380064
"49",126.548279,33.418222
"50",128.232827,38.155582
"51",126.918472,37.350809
"52",127.021981,36.701895
"53",127.239128,36.684806
"54",127.340441,36.217919
"55",128.830408,37.007066
"56",128.472847,38.031135
"57",126.750195,33.362107
"58",127.181219,37.098211
"59",127.082153,37.902931
"60",126.294493,33.302176
"61",126.880894,35.510354
"62",126.904264,37.659722
"63",126.492389,33.467366
"64",127.091473,37.393301
"65",127.092511,37.392724
"66",127.165533,37.386319
"67",127.168755,37.385513
"68",127.149914,37.389901
"69",127.14957,37.379529
"70",127.101861,37.454455
"71",127.098974,37.440669
"72",127.131464,37.359412
"73",127.133607,37.361816
"74",127.091197,37.43869
"75",127.148285,37.363699
"76",127.146952,37.391723
"77",127.157257,37.373356
"78",127.160889,37.377027
"79",127.142118,37.404896
"80",127.14144,37.403245
"81",127.075117,37.407449
"82",127.067404,37.401726
"83",127.076506,37.430013
"84",127.084111,37.431545
"85",127.068358,37.42629
"86",127.064206,37.423617
"87",127.081139,37.434275
"88",127.083665,37.353875
"89",127.059227,37.377352
"90",127.052259,37.361624
"91",126.928011,37.256122
"92",126.717612,33.517038
"93",127.097565,37.44473
"94",127.101911,37.442917
"95",127.134252,37.423904
"96",127.126362,37.433434
"97",127.131467,37.425759
"98",127.182963,37.44592
"99",127.185184,37.446686
"100",127.173125,37.46528
"101",127.175995,37.470141
"102",127.043124,37.393639
"103",126.895135,35.519886
"104",127.157625,37.382041
"105",126.928691,37.276083
"106",127.462737,36.61373
"107",127.174928,37.467306
"108",127.176375,37.464707
"109",127.150259,37.388758
"110",127.041041,37.397409
"111",126.710294,33.518189
"112",126.707769,33.516855
"113",126.582105,33.300113
"114",128.142748,37.459014
"115",126.959504,37.613344
"116",126.845731,35.475582
"117",127.016258,36.7085
"118",127.166006,35.820641
"119",127.020972,36.694583
"120",127.016342,36.707733
"121",127.065095,36.709175
"122",126.780178,37.759869
"123",126.908047,37.469645
"124",126.7925,37.475833
"125",126.795833,37.472222
"126",126.802778,37.475833
"127",127.810495,35.775322
"128",127.449765,36.61617
"129",127.582211,37.966105
"130",128.107925,36.763321
"131",128.154073,36.626641
"132",128.059573,36.611846
"133",126.618172,36.717428
"134",126.648348,35.701868
"135",126.5375,35.173889
"136",126.641388,34.430832
"137",127.329722,34.798333
"138",127.363052,34.990555
"139",127.364723,34.991943
"140",126.541946,35.18222
"141",126.537778,35.177222
"142",126.526947,35.177776
"143",126.52417,35.177223
"144",126.522224,35.174446
"145",126.71833,34.615002
"146",126.641388,34.433334
"147",126.643333,34.436111
"148",127.333889,34.790556
"149",127.756303,35.104402
"150",128.620278,34.813056
"151",128.648611,34.863056
"152",128.641667,35.317222
"153",128.317222,35.099722
"154",128.317215,35.100277
"155",127.452092,36.605406
"156",126.900122,35.508796
"157",128.417058,37.828808
"158",128.023072,37.642812
"159",127.976094,37.58637
"160",127.955909,37.575574
"161",127.467518,36.613069
"162",127.381127,36.136503
"163",127.792849,37.010897
"164",127.135278,35.785556
"165",128.218599999896,35.1385900007385
"166",128.208333,35.098611
"167",128.208707,35.098745
"168",128.619167,34.726111
"169",128.618056,34.724722
"170",128.648056,34.846944
"171",128.613056,34.8175
"172",127.334722,34.911667
"173",128.45648,37.495697
"174",128.279449,37.041668
"175",128.264806,37.042164
"176",128.196667,37.242778
"177",127.142379,35.78429
"178",128.429239,37.240239
"179",129.278739,35.352544
"180",127.351337,34.910059
"181",128.602113,37.70279
"182",127.195019,35.76469
"183",128.525266,35.793973
"184",127.681111,37.873889
"185",129.186111,36.363611
"186",129.165556,36.380278
"187",129.146389,36.3975
"188",129.32,37.196667
"189",127.015375,37.338048
"190",127.201794,36.802233
"191",128.074736,36.772993
"192",128.240278,37.488889
"193",128.239722,37.477778
"194",128.273611,37.4625
"195",128.300833,37.450278
"196",128.386111,37.430278
"197",128.500833,37.2125
"198",128.4875,37.212222
"199",128.475067000159,37.2108780007621
"200",128.389977,37.370474
"201",128.648182999657,37.1154310012049
"202",128.738611,37.078611
"203",128.744368999699,37.073478000891
"204",128.779167,37.053333
"205",128.798889,37.038056
"206",128.950556,36.917778
"207",128.791389,37.350833
"208",128.943056,37.263611
"209",128.995278,37.261111
"210",127.976111,35.661667
"211",127.836667,35.850278
"212",127.835833,35.848056
"213",127.8225,35.882778
"214",127.82,35.886667
"215",127.736389,35.919167
"216",127.720278,35.928056
"217",128.591667,37.601389
"218",128.701389,37.523333
"219",128.7125,37.508889
"220",128.722222,37.493056
"221",128.717222,37.481111
"222",128.688611,37.465
"223",128.656389,37.420556
"224",128.670278,37.410278
"225",127.738889,37.353333
"226",126.916043,36.622593
"227",127.430556,38.166944
"228",127.474167,38.213889
"229",127.475,38.223333
"230",127.466667,38.187222
"231",127.475085,38.116669
"232",127.475556,38.11
"233",127.521667,38.016667
"234",127.526389,37.975833
"235",128.557778,37.601111
"236",128.580833,37.489444
"237",128.576111,37.4225
"238",128.623611,37.358889
"239",128.628611,37.354444
"240",128.616667,37.320833
"241",128.6425,37.320556
"242",128.656111,37.321111
"243",128.431111,37.305278
"244",128.507778,37.247778
"245",128.52,37.271389
"246",128.632778,37.358611
"247",128.617222,37.350278
"248",128.638056,37.291389
"249",128.369444,37.837222
"250",128.348333,38.032778
"251",129.097778,36.944444
"252",129.146111,36.913611
"253",128.3375,37.257222
"254",128.325833,37.288333
"255",128.176111,36.935278
"256",128.075,36.898611
"257",127.885833,36.771389
"258",127.825833,36.534444
"259",127.861667,36.491667
"260",127.868889,36.49
"261",127.851944,36.494722
"262",127.904444,36.475556
"263",128.419722,37.220833
"264",128.419167,37.234167
"265",128.456667,37.257222
"266",128.464883,37.260767
"267",128.924444,35.506944
"268",128.926667,35.499167
"269",128.93,35.478056
"270",128.975800000244,35.4473570010316
"271",128.980833,35.438333
"272",126.718755,33.51414
"273",126.3509,33.40372
"274",126.600387,35.612605
"275",126.715513999682,33.5099470007323
"276",126.565834,33.459999
"277",126.563614,33.457222
"278",126.583707,36.74377
"279",126.673332,35.728889
"280",126.638681,34.441722
"281",127.763336,35.098888
"282",127.184448,34.764999
"283",127.183334,34.766945
"284",127.183052,34.766945
"285",127.154167,34.786388
"286",127.334999,34.791668
"287",127.731941,35.076389
"288",128.199997,35.09639
"289",128.630829,35.318333
"290",127.369088,34.533125
"291",127.370307,34.53399
"292",128.530233,34.862105
"293",127.728218,35.073023
"294",126.591666,36.670949
"295",127.086268,36.727262
"296",126.584065,36.741263
"297",126.980278,36.541667
"298",127.381111,37.533611
"299",127.716667,37.554722
"300",127.82222,37.573055
"301",128.84584,37.666389
"302",128.267502,37.041668
"303",127.175278,37.083332
"304",127.339032,36.19291
"305",127.333236,36.189697
"306",127.810837,35.302223
"307",126.617936,36.714875
"308",128.93,35.88
"309",126.53,35.16
"310",126.9,36.2
"311",126.594901,36.740363
"312",128.45999,37.061096
"313",126.60078,36.728293
"314",128.546661,37.835556
"315",126.347864,37.664302
"316",126.231457,33.297156
"317",126.387172,33.376941
"318",126.471327,33.40252
"319",126.726146,34.758219
"320",126.659194,34.753323
"321",126.658333,34.431111
"322",126.645278,34.431389
"323",126.676389,35.729722
