"","variable","percent.contribution","permutation.importance"
"1","PC1",60.7543,43.2933
"2","PC2",14.776,14.3279
"3","PC3",5.176,12.3504
"4","PC4",9.99,18.3543
"5","PC5",9.3036,11.6741
