"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations"
"7a0b9d7b-7c86-411b-ad93-3ab91d192028","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.66041,126.62234,"ASIA","Chungcheongnam-do",2023,3,25,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4899900306","NSMK-OB-AR-220600007","Deoksan-myeon","Yesan-gun",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.20129,127.342919,"ASIA","Chungcheongnam-do",2023,4,3,"cdc,cdround","https://www.inaturalist.org/observations/153302611","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4076388739","153302611",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.507211,126.892361,"ASIA","Jeju",2023,4,11,"cdc,cdround","https://www.inaturalist.org/observations/154381361","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129836524","154381361",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.520183,126.551909,"ASIA","Jeju",2023,4,10,"cdc,cdround","https://www.inaturalist.org/observations/189543133","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4438704316","189543133",NA,NA,NA
"7a0b9d7b-7c86-411b-ad93-3ab91d192028","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.4005,126.676699,"ASIA","Incheon",2023,4,28,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4899900307","NSMK-OB-AR-220600006","Dongchun-dong","Yeonsu-gu",NA
"7c0a5579-c995-4daa-a75b-c96c696a599e","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.655464,126.618615,"ASIA","Chungcheongnam-do",2023,4,18,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4526215309","NSMK-OB-AR-230500001","Deoksan-myeon","Yesan-gun",NA
"7c0a5579-c995-4daa-a75b-c96c696a599e","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.661939,126.624713,"ASIA","Chungcheongnam-do",2023,4,18,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4526215307","NSMK-OB-AR-230500003","Deoksan-myeon","Yesan-gun",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.691467,126.583497,"ASIA","Chungcheongnam-do",2023,5,1,"cdc,cdround","https://www.inaturalist.org/observations/158547434","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4103351175","158547434",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",34.077296,125.114255,"ASIA","Jeollanam-do",2023,5,14,"cdc,cdround","https://www.inaturalist.org/observations/162258281","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121198595","162258281",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",35.932541,127.206634,"ASIA","Jeollabuk-do",2023,5,27,"cdc,cdround","https://www.inaturalist.org/observations/163951866","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4127268270","163951866",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.945355,127.084508,"ASIA","Gyeonggi-do",2023,5,21,"cdc,cdround","https://www.inaturalist.org/observations/170046608","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4145188155","170046608",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.502082,126.538557,"ASIA","Jeju",2023,7,9,"cdc,cdround","https://www.inaturalist.org/observations/171882835","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4162023799","171882835",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.499441,126.656425,"ASIA","Jeju",2023,8,8,"cdc,cdround","https://www.inaturalist.org/observations/177423949","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413377717","177423949",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.749425,127.167817,"ASIA","Gyeonggi-do",2023,8,19,"cdc,cdround","https://www.inaturalist.org/observations/179112514","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4407143578","179112514",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.749458,127.167887,"ASIA","Gyeonggi-do",2023,8,19,"cdc,cdround","https://www.inaturalist.org/observations/179248941","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4407116813","179248941",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.775956,127.971243,"ASIA","Gangwon-do",2023,8,27,"cdc,cdround","https://www.inaturalist.org/observations/180392995","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4405378947","180392995",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",35.75964,127.413081,"ASIA","Jeollabuk-do",2023,9,3,"cdc,cdround","https://www.inaturalist.org/observations/181598819","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424535725","181598819",NA,NA,NA
