"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","elevation","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.616155,127.467023,"ASIA","Chungcheongbuk-do",2024,2,17,"cdc,cdround","https://www.inaturalist.org/observations/199621760","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535788080","199621760",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",35.711249,127.935925,"ASIA","Gyeongsangnam-do",2024,2,18,"cdc,cdround","https://www.inaturalist.org/observations/199652705","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535884151","199652705",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",37.356349,127.113618,"ASIA","Gyeonggi-do",2024,2,14,"cdc,cdround","https://www.inaturalist.org/observations/200363409","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528076647","200363409",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",37.311456,127.024239,"ASIA","Gyeonggi-do",2024,2,26,"cdc,cdround","https://www.inaturalist.org/observations/200492803","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528071003","200492803",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",37.311338,127.024125,"ASIA","Gyeonggi-do",2024,2,26,"cdc,cdround","https://www.inaturalist.org/observations/200506751","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528049039","200506751",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",35.146317,127.68515,"ASIA","Gyeongsangnam-do",2024,2,29,"cdc,cdround","https://www.inaturalist.org/observations/200769431","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4597304777","200769431",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.378495,127.434005,"ASIA","Daejeon",2024,3,3,"cdc","https://www.inaturalist.org/observations/201182601","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535941694","201182601",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.378545,127.434105,"ASIA","Daejeon",2024,3,3,"cdc","https://www.inaturalist.org/observations/201182666","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4535713870","201182666",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.769976,126.321723,"ASIA","Chungcheongnam-do",2024,3,8,"cdc,cdround","https://www.inaturalist.org/observations/201651105","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606591295","201651105",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.76582,126.318884,"ASIA","Chungcheongnam-do",2024,3,8,"cdc,cdround","https://www.inaturalist.org/observations/201670383","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4607372940","201670383",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.789206,126.284454,"ASIA","Chungcheongnam-do",2024,3,8,"cdc,cdround","https://www.inaturalist.org/observations/201670477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4606619134","201670477",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",35.793683,128.493509,"ASIA","Daegu",2024,3,10,"cdc,cdround","https://www.inaturalist.org/observations/201888769","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596905292","201888769",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",35.793662,128.493509,"ASIA","Daegu",2024,3,10,"cdc,cdround","https://www.inaturalist.org/observations/201888779","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596926276","201888779",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.781352,126.291838,"ASIA","Chungcheongnam-do",2024,3,10,"cdc,cdround","https://www.inaturalist.org/observations/201895068","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596991382","201895068",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.750295,126.407631,"ASIA","Chungcheongnam-do",2024,3,9,"cdc,cdround","https://www.inaturalist.org/observations/201895202","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599997448","201895202",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.750432,126.407211,"ASIA","Chungcheongnam-do",2024,3,9,"cdc,cdround","https://www.inaturalist.org/observations/201895232","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599748409","201895232",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.803486,126.251123,"ASIA","Chungcheongnam-do",2024,3,19,"cdc,cdround","https://www.inaturalist.org/observations/203092025","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599858646","203092025",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.771531,126.283913,"ASIA","Chungcheongnam-do",2024,3,20,"cdc,cdround","https://www.inaturalist.org/observations/203223517","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599792785","203223517",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",37.38927,127.24592,"ASIA","Gyeonggi-do",2024,3,26,"cdc","https://www.inaturalist.org/observations/204011500","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4600191970","204011500",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",35.865617,128.748448,"ASIA","Daegu",2024,3,30,"cdc,cdround","https://www.inaturalist.org/observations/204549017","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4846999498","204549017",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",37.417109,127.150588,"ASIA","Gyeonggi-do",2024,4,11,"cdc,cdround","https://www.inaturalist.org/observations/206603561","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852739550","206603561",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.66376,127.539634,"ASIA","Chungcheongbuk-do",2024,4,20,"cdc","https://www.inaturalist.org/observations/208212855","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852752200","208212855",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.771184,126.285376,"ASIA","Chungcheongnam-do",2024,4,21,"cdc,cdround","https://www.inaturalist.org/observations/208685952","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852924534","208685952",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Bufo gargarizans",36.789245,126.284654,"ASIA","Chungcheongnam-do",2024,4,23,"cdc,cdround","https://www.inaturalist.org/observations/208885539","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852025973","208885539",NA,NA,NA,NA
