"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.684541,127.7544,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251059","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528059325","200251059",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.712493,127.671708,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251149","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528045310","200251149",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.761379,127.679297,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251159","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4527983237","200251159",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.657988,127.788771,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528268292","200251163",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.651654,127.679006,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251179","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528242271","200251179",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.728126,127.600058,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528005242","200251185",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.710835,127.604657,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251203","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528302329","200251203",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.736314,127.790819,"ASIA","Jeollanam-do",2024,2,24,"cdc,cdround","https://www.inaturalist.org/observations/200251208","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4528093333","200251208",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.881378,127.776987,"ASIA","Jeollanam-do",2024,4,19,"cdc,cdround","https://www.inaturalist.org/observations/208090480","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852203504","208090480",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.867974,127.678852,"ASIA","Jeollanam-do",2024,4,19,"cdc,cdround","https://www.inaturalist.org/observations/208090677","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851828755","208090677",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.807591,127.753501,"ASIA","Jeollanam-do",2024,4,19,"cdc,cdround","https://www.inaturalist.org/observations/208091144","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4851824783","208091144",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.97181,127.793578,"ASIA","Jeollanam-do",2024,4,19,"cdc,cdround","https://www.inaturalist.org/observations/208191099","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4852340506","208191099",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.949628,127.286896,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154824446","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116368576","154824446",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.845485,127.254044,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154827202","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116112456","154827202",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.886893,127.399906,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154827447","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116409540","154827447",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.825162,127.386273,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154827713","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116368578","154827713",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.935735,127.251853,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154828508","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116098613","154828508",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.93437,127.380267,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154828686","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116436421","154828686",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.996353,127.358588,"ASIA","Jeollanam-do",2023,4,14,"cdc,cdround","https://www.inaturalist.org/observations/154828915","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116504616","154828915",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.992012,127.22744,"ASIA","Jeollanam-do",2023,4,15,"cdc,cdround","https://www.inaturalist.org/observations/154920510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121356523","154920510",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.941873,127.273904,"ASIA","Jeollanam-do",2023,4,15,"cdc,cdround","https://www.inaturalist.org/observations/154925743","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121086466","154925743",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.595473,127.544956,"ASIA","Jeollanam-do",2021,2,15,"cdc,cdround","https://www.inaturalist.org/observations/69607884","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044898206","69607884",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.433329,127.557791,"ASIA","Jeollanam-do",2021,2,15,"cdc,cdround","https://www.inaturalist.org/observations/69609452","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044565239","69609452",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.541411,127.546852,"ASIA","Jeollanam-do",2021,2,15,"cdc,cdround","https://www.inaturalist.org/observations/69611882","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044768191","69611882",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.86548,127.2423,"ASIA","Jeollanam-do",2020,3,18,"cdc,cdround","https://www.inaturalist.org/observations/40178515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580133801","40178515",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.804957,127.250159,"ASIA","Jeollanam-do",2020,3,18,"cdc,cdround","https://www.inaturalist.org/observations/40222235","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596079077","40222235",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.802801,127.245821,"ASIA","Jeollanam-do",2020,3,18,"cdc,cdround","https://www.inaturalist.org/observations/40222258","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596264203","40222258",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.870224,127.224904,"ASIA","Jeollanam-do",2020,3,18,"cdc,cdround","https://www.inaturalist.org/observations/40222285","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596082079","40222285",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.956133,127.233406,"ASIA","Jeollanam-do",2020,3,18,"cdc,cdround","https://www.inaturalist.org/observations/41302019","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2597889000","41302019",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.405069,127.517612,"ASIA","Jeollanam-do",2019,2,23,"cdc,cdround","https://www.inaturalist.org/observations/20728160","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2006061841","20728160",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.413121,127.26707,"ASIA","Jeollanam-do",2019,2,23,"cdc,cdround","https://www.inaturalist.org/observations/20728169","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2006061776","20728169",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.416766,127.257648,"ASIA","Jeollanam-do",2019,2,23,"cdc,cdround","https://www.inaturalist.org/observations/20728181","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2006061868","20728181",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.467468,127.330081,"ASIA","Jeollanam-do",2019,2,23,"cdc,cdround","https://www.inaturalist.org/observations/20728182","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2006061768","20728182",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.555348,127.216436,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907785","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981446","20907785",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.520481,127.251475,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907786","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981539","20907786",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.499744,127.387164,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907787","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981544","20907787",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.583945,127.371447,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907789","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981512","20907789",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.468736,127.314447,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907791","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981486","20907791",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.595057,127.285061,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907792","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981521","20907792",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.502438,127.29349,"ASIA","Jeollanam-do",2019,3,3,"cdc,cdround","https://www.inaturalist.org/observations/20907793","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2012981531","20907793",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.530424,127.358549,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105914","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013717051","21105914",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.545914,127.370969,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105915","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013716985","21105915",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.488924,127.205333,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105917","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013716984","21105917",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.465486,127.282539,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105918","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013717046","21105918",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.449327,127.12963,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105923","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013717032","21105923",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.532437,127.074198,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105924","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013717064","21105924",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.564049,127.149142,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105926","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013717091","21105926",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.482131,127.009556,"ASIA","Jeollanam-do",2019,3,10,"cdc,cdround","https://www.inaturalist.org/observations/21105928","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2013717012","21105928",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.841404,127.271875,"ASIA","Jeollanam-do",2017,3,12,"cdc,cdround","https://www.inaturalist.org/observations/5288231","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1802615672","5288231",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.621083,127.349647,"ASIA","Jeollanam-do",2016,5,22,"cdc,cdround","https://www.inaturalist.org/observations/12167028","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609067180","12167028",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.715248,127.634017,"ASIA","Jeollanam-do",2015,1,26,"cdc,cdround","https://www.inaturalist.org/observations/1200624","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880461125","1200624",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.539257,127.301209,"ASIA","Jeollanam-do",2015,1,27,"cdc,cdround","https://www.inaturalist.org/observations/1200625","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1065600053","1200625",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.435858,127.509439,"ASIA","Jeollanam-do",2015,1,27,"cdc,cdround","https://www.inaturalist.org/observations/1200626","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4076278305","1200626",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.987583,127.353938,"ASIA","Jeollanam-do",2014,1,3,"cdc,cdround","https://www.inaturalist.org/observations/495010","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880666294","495010",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.65675,127.137091,"ASIA","Jeollanam-do",2013,1,2,"cdc,cdround","https://www.inaturalist.org/observations/173019","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880661382","173019",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.562883,127.198372,"ASIA","Jeollanam-do",2013,1,2,"cdc,cdround","https://www.inaturalist.org/observations/173020","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880661381","173020",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.740275,127.214157,"ASIA","Jeollanam-do",2012,3,27,"cdc,cdround","https://www.inaturalist.org/observations/1200623","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880461129","1200623",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.410771,127.498234,"ASIA","Jeollanam-do",2012,3,11,"cdc,cdround","https://www.inaturalist.org/observations/4631524","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880665837","4631524",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.589062,127.324316,"ASIA","Jeollanam-do",2012,3,28,"cdc,cdround","https://www.inaturalist.org/observations/5296745","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1802615713","5296745",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.426467,127.551942,"ASIA","Jeollanam-do",2012,3,28,"cdc,cdround","https://www.inaturalist.org/observations/5296747","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1802615717","5296747",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.467346,127.579127,"ASIA","Jeollanam-do",2010,1,25,"cdc,cdround","https://www.inaturalist.org/observations/2506327","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880662381","2506327",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hynobius unisacculus",34.507388,127.43405,"ASIA","Jeollanam-do",2010,2,14,"cdc,cdround","https://www.inaturalist.org/observations/2506603","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880662389","2506603",NA
"e162a3af-1065-4e1e-be92-a7891bad51eb","PRESERVED_SPECIMEN","PRESENT","Hynobius unisacculus",34.42986,127.49953,"ASIA","Jeollanam-do",NA,NA,NA,"cdc,cuiv,gass84,rdativ,incomis,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4164644549","NIBRAM0000101864","Bongnae-myeon"
"e162a3af-1065-4e1e-be92-a7891bad51eb","PRESERVED_SPECIMEN","PRESENT","Hynobius unisacculus",34.42826,127.49953,"ASIA","Jeollanam-do",NA,NA,NA,"cdc,cuiv,gass84,rdativ,incomis,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4164644515","NIBRAM0000101877","Bongnae-myeon"
