"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.882764,126.627087,"ASIA","Jeollabuk-do",2024,4,28,"cdc","https://www.inaturalist.org/observations/210822457","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4853095965","210822457",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.790849,128.496754,"ASIA","Daegu",2024,5,18,"cdc,cdround","https://www.inaturalist.org/observations/216488960","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4867861495","216488960",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.519529,127.667375,"ASIA","Gyeongsangnam-do",2024,5,22,"cdc,cdround","https://www.inaturalist.org/observations/217438579","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872256072","217438579",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",38.127483,127.747323,"ASIA","Gangwon-do",2024,6,6,"cdc,cdround","https://www.inaturalist.org/observations/220883576","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4892167379","220883576",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",37.480703,126.832328,"ASIA","Seoul",2024,6,2,"cdc,cdround","https://www.inaturalist.org/observations/222212072","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901501733","222212072",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.085445,126.116696,"ASIA","Jeollanam-do",2024,6,21,"cdc,cdround","https://www.inaturalist.org/observations/224304005","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901762204","224304005",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.70531,127.861852,"ASIA","Gyeongsangnam-do",2023,4,27,"cdc,cdround","https://www.inaturalist.org/observations/156889259","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4102725855","156889259",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.792097,127.072258,"ASIA","Chungcheongnam-do",2023,4,28,"cdc,cdround","https://www.inaturalist.org/observations/157252352","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4103136122","157252352",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.28752,127.335296,"ASIA","Daejeon",2023,4,21,"cdc,cdround","https://www.inaturalist.org/observations/159355734","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4111754847","159355734",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.613288,127.462994,"ASIA","Chungcheongbuk-do",2023,5,11,"cdc,cdround","https://www.inaturalist.org/observations/161048951","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116365179","161048951",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.791397,127.075714,"ASIA","Chungcheongnam-do",2023,5,11,"cdc,cdround","https://www.inaturalist.org/observations/161078185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116269201","161078185",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.792822,127.070131,"ASIA","Chungcheongnam-do",2023,5,16,"cdc,cdround","https://www.inaturalist.org/observations/162027428","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116340359","162027428",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.218008,127.340099,"ASIA","Chungcheongnam-do",2023,5,6,"cdc,cdround","https://www.inaturalist.org/observations/163475025","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4126920680","163475025",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.792188,127.071839,"ASIA","Chungcheongnam-do",2023,5,25,"cdc,cdround","https://www.inaturalist.org/observations/163704625","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4127259024","163704625",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.791772,127.076531,"ASIA","Chungcheongnam-do",2023,6,2,"cdc,cdround","https://www.inaturalist.org/observations/165140532","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129671040","165140532",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.791405,127.077361,"ASIA","Chungcheongnam-do",2023,6,4,"cdc,cdround","https://www.inaturalist.org/observations/165597948","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129954194","165597948",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.692915,127.867862,"ASIA","Gyeongsangnam-do",2023,6,5,"cdc,cdround","https://www.inaturalist.org/observations/165708333","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4129675038","165708333",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.792775,127.070167,"ASIA","Chungcheongnam-do",2023,6,5,"cdc,cdround","https://www.inaturalist.org/observations/165798512","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4130173577","165798512",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.792345,127.070542,"ASIA","Chungcheongnam-do",2023,6,12,"cdc,cdround","https://www.inaturalist.org/observations/167149692","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4133981065","167149692",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",36.791422,127.077111,"ASIA","Chungcheongnam-do",2023,6,22,"cdc,cdround","https://www.inaturalist.org/observations/168896159","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4138210869","168896159",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius brevicauda",35.419016,126.779466,"ASIA","Jeollabuk-do",2023,6,11,"cdc,cdround","https://www.inaturalist.org/observations/168928958","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4138529197","168928958",NA,NA,NA
