"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","type","locality","elevation"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.755286,127.831572,"ASIA","Gyeongsangnam-do",2024,3,23,"cdc,cdround","https://www.inaturalist.org/observations/203586658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4599901858","203586658",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.753518,127.595049,"ASIA","Gyeonggi-do",2024,4,27,"cdc,cdround","https://www.inaturalist.org/observations/211497087","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4855089617","211497087",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.893504,127.634174,"ASIA","Gangwon-do",2024,5,25,"cdc,cdround","https://www.inaturalist.org/observations/218053158","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872425430","218053158",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.925684,127.646417,"ASIA","Gangwon-do",2024,5,25,"cdc,cdround","https://www.inaturalist.org/observations/218054799","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872237478","218054799",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.928325,127.674406,"ASIA","Gangwon-do",2024,5,28,"cdc,cdround","https://www.inaturalist.org/observations/218805593","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872020462","218805593",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.970208,127.789103,"ASIA","Gangwon-do",2024,5,28,"cdc,cdround","https://www.inaturalist.org/observations/218811853","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872650206","218811853",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.903675,127.760966,"ASIA","Gangwon-do",2024,6,2,"cdc,cdround","https://www.inaturalist.org/observations/219933635","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4875123778","219933635",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",36.441264,127.803431,"ASIA","Chungcheongbuk-do",2024,6,5,"cdc,cdround","https://www.inaturalist.org/observations/220613827","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4891678712","220613827",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.852321,127.72473,"ASIA","Gangwon-do",2024,6,9,"cdc,cdround","https://www.inaturalist.org/observations/221454359","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901481542","221454359",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.841921,127.748512,"ASIA","Gangwon-do",2024,6,9,"cdc,cdround","https://www.inaturalist.org/observations/221454378","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901479918","221454378",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.831646,127.616857,"ASIA","Gangwon-do",2024,6,9,"cdc,cdround","https://www.inaturalist.org/observations/221454390","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4891777430","221454390",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",37.992667,127.621851,"ASIA","Gangwon-do",2024,6,23,"cdc,cdround","https://www.inaturalist.org/observations/224578718","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4900848429","224578718",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.719939,127.856447,"ASIA","Gyeongsangnam-do",2023,4,1,"cdc,cdround","https://www.inaturalist.org/observations/153036000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4076107417","153036000",NA,NA,NA,NA
