"SpeciesSearched","Scientific.Name","OrigOccurrences","Occurrences","StudyArea_Occur","Keys","Class","Family","Genus","Species"
"Hebius vibakari","Hebius vibakari",456,451,NA,7577116,"Squamata","Colubridae","Hebius","Hebius_vibakari"
"Orientocoluber spinalis","Orientocoluber spinalis",246,237,NA,8198940,"Squamata","Colubridae","Orientocoluber","Orientocoluber_spinalis"
"Lycodon rufozonatus","Lycodon rufozonatus",1494,1485,NA,5223677,"Squamata","Colubridae","Lycodon","Lycodon_rufozonatus"
"Sibynophis chinensis","Sibynophis chinensis",12,11,NA,2456259,"Squamata","Colubridae","Sibynophis","Sibynophis_chinensis"
"Gloydius brevicauda","Gloydius brevicauda",137,133,NA,2444545,"Squamata","Viperidae","Gloydius","Gloydius_brevicauda"
"Gloydius intermedius","Gloydius intermedius",731,730,NA,2444616,"Squamata","Viperidae","Gloydius","Gloydius_intermedius"
"Gloydius ussuriensis","Gloydius ussuriensis",3005,2956,NA,2444547,"Squamata","Viperidae","Gloydius","Gloydius_ussuriensis"
"Takydromus amurensis","Takydromus amurensis",1731,1708,NA,2468597,"Squamata","Lacertidae","Takydromus","Takydromus_amurensis"
"Takydromus wolteri","Takydromus wolteri",1698,1516,NA,2468634,"Squamata","Lacertidae","Takydromus","Takydromus_wolteri"
"Eremias argus","Eremias argus",193,65,NA,2468903,"Squamata","Lacertidae","Eremias","Eremias_argus"
"Scincella huanrenensis","Scincella huanrenensis",27,26,NA,2461489,"Squamata","Scincidae","Scincella","Scincella_huanrenensis"
"Scincella vandenburghi","Scincella vandenburghi",1060,1028,NA,2461487,"Squamata","Scincidae","Scincella","Scincella_vandenburghi"
"Gekko japonicus","Gekko japonicus",70,61,NA,2447295,"Squamata","Gekkonidae","Gekko","Gekko_japonicus"
"Pelodiscus sinensis","Pelodiscus sinensis",35,17,NA,5220435,"Testudines","Trionychidae","Pelodiscus","Pelodiscus_sinensis"
"Pelodiscus maackii","Pelodiscus maackii",363,362,NA,8179364,"Testudines","Trionychidae","Pelodiscus","Pelodiscus_maackii"
"Mauremys sinensis","Mauremys sinensis",25,25,NA,2443244,"Testudines","Geoemydidae","Mauremys","Mauremys_sinensis"
