"","variable","percent.contribution","permutation.importance"
"1","PC1",29.07,40.0483
"2","PC2",9.6294,5.5173
"3","PC3",33.7767,31.0058
"4","PC4",4.9869,3.003
"5","PC5",22.537,20.4256
