"","variable","percent.contribution","permutation.importance"
"1","PC1",79.4956,81.1161
"2","PC2",16.8499,12.737
"3","PC3",1.1041,2.371
"4","PC4",1.7869,2.0628
"5","PC5",0.7635,1.7131
