"","variable","percent.contribution","permutation.importance"
"1","PC1",54.6944,39.8733
"2","PC2",13.083,3.0695
"3","PC3",7.2694,13.0027
"4","PC4",8.8018,21.9946
"5","PC5",16.1513,22.0598
