"","variable","percent.contribution","permutation.importance"
"1","PC1",6.2145,19.2452
"2","PC2",7.0853,7.6349
"3","PC3",10.6841,9.0259
"4","PC4",40.8297,29.7671
"5","PC5",35.1864,34.3268
