"","variable","percent.contribution","permutation.importance"
"1","PC1",60.2392,44.0209
"2","PC2",22.4297,20.3451
"3","PC3",0.1492,2.3202
"4","PC4",7.48,15.2147
"5","PC5",9.7019,18.0991
