"","variable","percent.contribution","permutation.importance"
"1","PC1",78.589,69.1986
"2","PC2",15.2016,23.4013
"3","PC3",5.2691,4.8587
"4","PC4",0.9284,2.2445
"5","PC5",0.0119,0.2968
