"","variable","percent.contribution","permutation.importance"
"1","PC1",2.4618,0
"2","PC2",11.0233,14.8868
"3","PC3",1.8896,6.247
"4","PC4",44.6725,43.2895
"5","PC5",39.9528,35.5766
