"","variable","percent.contribution","permutation.importance"
"1","PC1",31.9158,38.717
"2","PC2",9.4917,13.9443
"3","PC3",13.9018,17.7611
"4","PC4",3.8793,0.0902
"5","PC5",40.8114,29.4873
