"","variable","percent.contribution","permutation.importance"
"1","PC1",57.5816,79.2425
"2","PC2",26.3112,15.2378
"3","PC3",14.386,0.0104
"4","PC4",1.0808,2.8931
"5","PC5",0.6404,2.6162
