"","variable","percent.contribution","permutation.importance"
"1","PC1",26.527,24.5881
"2","PC2",8.1574,5.1799
"3","PC3",17.9334,27.0114
"4","PC4",36.9904,29.1663
"5","PC5",10.3919,14.0543
