"","variable","percent.contribution","permutation.importance"
"1","PC1",26.5413,14.7594
"2","PC2",18.3395,4.5756
"3","PC3",41.5862,77.0446
"4","PC4",0.3114,0.5302
"5","PC5",13.2216,3.0902
