"","variable","percent.contribution","permutation.importance"
"1","PC1",66.773,68.3429
"2","PC2",6.7328,6.2863
"3","PC3",25.8802,23.6638
"4","PC4",0.5888,1.6031
"5","PC5",0.0251,0.1039
