"","variable","percent.contribution","permutation.importance"
"1","PC1",47.7451,41.4635
"2","PC2",31.4311,24.3506
"3","PC3",1.6051,2.8987
"4","PC4",0.0705,0
"5","PC5",19.1481,31.2872
